ID,MAC_seagrass_ag,MAC_seagrass_bg,MAC_seagrass_fr,NCS_fs1,PHY_mpb,BIV_suspfeeder
1,0,0,0,0.4,20,0
2,0,0,0,0.4,20,0
3,0,0,0,0.4,20,0
4,0,0,0,0.4,20,0
5,0,0,0,0.4,20,0
6,0,0,0,0.4,20,0
7,0,0,0,0.4,20,0
8,0,0,0,0.4,20,0
9,0,0,0,0.4,20,0
10,0,0,0,0.4,20,0
11,0,0,0,0.4,20,0
12,0,0,0,0.4,20,0
13,0,0,0,0.4,20,0
14,0,0,0,0.4,20,0
15,0,0,0,0.4,20,0
16,0,0,0,0.4,20,0
17,0,0,0,0.4,20,0
18,0,0,0,0.4,20,0
19,0,0,0,0.4,20,0
20,0,0,0,0.4,20,0
21,0,0,0,0.4,20,0
22,0,0,0,0.4,20,0
23,0,0,0,0.4,20,0
24,0,0,0,0.4,20,0
25,0,0,0,0.4,20,0
26,0,0,0,0.4,20,0
27,0,0,0,0.4,20,0
28,0,0,0,0.4,20,0
29,0,0,0,0.4,20,0
30,0,0,0,0.4,20,0
31,0,0,0,0.4,20,0
32,0,0,0,0.4,20,0
33,0,0,0,0.4,20,0
34,0,0,0,0.4,20,0
35,0,0,0,0.4,20,0
36,0,0,0,0.4,20,0
37,0,0,0,0.4,20,0
38,17886.9235,17886.9235,0,0,20,0
39,0,0,0,0.4,20,0
40,0,0,0,0.4,20,0
41,0,0,0,0.4,20,0
42,0,0,0,0.4,20,0
43,0,0,0,0.4,20,0
44,0,0,0,0.4,20,0
45,0,0,0,0.4,20,0
46,0,0,0,0.4,20,0
47,0,0,0,0.4,20,0
48,17885.156,17885.156,0,0,20,0
49,17893.0617,17893.0617,0,0,20,0
50,0,0,0,0.4,20,0
51,0,0,0,0.4,20,0
52,0,0,0,0.4,20,0
53,0,0,0,0.4,20,0
54,0,0,0,0.4,20,0
55,0,0,0,0.4,20,0
56,0,0,0,0.4,20,0
57,0,0,0,0.4,20,0
58,0,0,0,0.4,20,0
59,17882.9666,17882.9666,0,0,20,0
60,0,0,0,0.4,20,0
61,17889.6339,17889.6339,0,0,20,0
62,17894.1128,17894.1128,0,0,20,0
63,17895.3801,17895.3801,0,0,20,0
64,0,0,0,0.4,20,0
65,0,0,0,0.4,20,0
66,0,0,0,0.4,20,0
67,0,0,0,0.4,20,0
68,0,0,0,0.4,20,0
69,0,0,0,0.4,20,0
70,0,0,0,0.4,20,0
71,0,0,0,0.4,20,0
72,0,0,0,0.4,20,0
73,17890.9106,17890.9106,0,0,20,0
74,17892.8947,17892.8947,0,0,20,0
75,0,0,0,0.4,20,0
76,17891.1856,17891.1856,0,0,20,0
77,17894.7808,17894.7808,0,0,20,0
78,17896.2152,17896.2152,0,0,20,0
79,17896.1562,17896.1562,0,0,20,0
80,0,0,0,0.4,20,0
81,0,0,0,0.4,20,0
82,0,0,0,0.4,20,0
83,0,0,0,0.4,20,0
84,0,0,0,0.4,20,0
85,0,0,0,0.4,20,0
86,0,0,0,0.4,20,0
87,0,0,0,0.4,20,0
88,0,0,0,0.4,20,0
89,0,0,0,0.4,20,0
90,0,0,0,0.4,20,0
91,0,0,0,0.4,20,0
92,17894.4468,17894.4468,0,0,20,0
93,17895.2917,17895.2917,0,0,20,0
94,17895.9499,17895.9499,0,0,20,0
